solver_name,task,benchmark_name,instance,answer
asc_01,DS-PR,iccma17,bw2.pfile-3-08.pddl.1.cnf,NA
asc_01,DS-PR,iccma17,bw2.pfile-3-08.pddl.1.cnf.arg2,NA
asc_01,DS-PR,iccma17,bw2.pfile-3-08.pddl.2.cnf,NA
asc_01,DS-PR,iccma17,bw2.pfile-3-08.pddl.4.cnf,NA
asc_01,DS-PR,iccma17,bw2.pfile-3-08.pddl.4.cnf.arg2,NA
asc_01,DS-PR,iccma17,bw2.pfile-3-08.pddl.5.cnf,NA
asc_01,DS-PR,iccma17,bw2.pfile-3-08.pddl.5.cnf.arg2,NA
asc_01,DS-PR,iccma17,bw2.pfile-4-02.pddl.2.cnf,NA
asc_01,DS-PR,iccma17,bw2.pfile-4-03.pddl.1.cnf,NA
asc_01,DS-PR,iccma17,bw3.pfile-3-01.pddl.1.cnf,NA
asc_01,DS-PR,iccma17,bw3.pfile-3-01.pddl.2.cnf,NA
asc_01,DS-PR,iccma17,bw3.pfile-3-02.pddl.5.cnf,NA
asc_01,DS-PR,iccma17,bw3.pfile-3-04.pddl.2.cnf,NA
asc_01,DS-PR,iccma17,bw3.pfile-3-08.pddl.6.cnf,NA
asc_01,DS-PR,iccma17,bw3.pfile-4-03.pddl.4.cnf,NA
asc_01,DS-PR,iccma17,bw3.pfile-4-08.pddl.3.cnf,NA
asc_01,DS-PR,iccma17,bw3.pfile-4-08.pddl.6.cnf,NA
asc_01,DS-PR,iccma17,carroll-transit-system_20151202_1957.gml.50,NA
asc_01,DS-PR,iccma17,cascades-east-transit_20151217_0811.gml.80,NA
asc_01,DS-PR,iccma17,commute.org_20140813_1738.gml.20,NA
asc_01,DS-PR,iccma17,commuteorg-shuttle_20150308_1938.gml.20,NA
asc_01,DS-PR,iccma17,commuteorg-shuttle_20150308_1938.gml.20.arg2,NA
asc_01,DS-PR,iccma17,confederated-tribes-of-the-umatilla-indian-reservation_20130129_1036.gml.80,NA
asc_01,DS-PR,iccma17,confederated-tribes-of-the-umatilla-indian-reservation_20130129_1036.gml.80.arg2,NA
asc_01,DS-PR,iccma17,ecobici.stats_20141007_2248.gml.50,NA
asc_01,DS-PR,iccma17,el-dorado-transit_20151217_1024.gml.20,NA
asc_01,DS-PR,iccma17,empresa-publica-de-transportes-e-circulao_20141104_0243.gml.20,NA
asc_01,DS-PR,iccma17,ER_200_20_4,NA
asc_01,DS-PR,iccma17,ER_200_30_8,NA
asc_01,DS-PR,iccma17,ER_200_40_8,NA
asc_01,DS-PR,iccma17,ER_300_10_10,NA
asc_01,DS-PR,iccma17,ER_300_20_10,NA
asc_01,DS-PR,iccma17,ER_300_20_10.arg2,NA
asc_01,DS-PR,iccma17,ER_300_20_5,NA
asc_01,DS-PR,iccma17,ER_300_20_5.arg2,NA
asc_01,DS-PR,iccma17,ER_300_30_10,NA
asc_01,DS-PR,iccma17,ER_300_30_10.arg2,NA
asc_01,DS-PR,iccma17,ER_300_30_6,NA
asc_01,DS-PR,iccma17,ER_300_40_8,NA
asc_01,DS-PR,iccma17,ER_300_50_2,NA
asc_01,DS-PR,iccma17,ER_300_50_6,NA
asc_01,DS-PR,iccma17,ER_300_60_9,NA
asc_01,DS-PR,iccma17,ER_400_100_10,NA
asc_01,DS-PR,iccma17,ER_400_100_3,NA
asc_01,DS-PR,iccma17,ER_400_30_4,NA
asc_01,DS-PR,iccma17,ER_400_30_4.arg2,NA
asc_01,DS-PR,iccma17,ER_400_40_10,NA
asc_01,DS-PR,iccma17,ER_400_40_10.arg2,NA
asc_01,DS-PR,iccma17,ER_400_50_2,NA
asc_01,DS-PR,iccma17,ER_400_50_5,NA
asc_01,DS-PR,iccma17,ER_400_50_7,NA
asc_01,DS-PR,iccma17,ER_400_60_10,NA
asc_01,DS-PR,iccma17,ER_400_60_4,NA
asc_01,DS-PR,iccma17,ER_400_60_7,NA
asc_01,DS-PR,iccma17,ER_400_60_9,NA
asc_01,DS-PR,iccma17,ER_400_70_1,NA
asc_01,DS-PR,iccma17,ER_400_70_3,NA
asc_01,DS-PR,iccma17,ER_400_80_8,NA
asc_01,DS-PR,iccma17,ER_500_10_4,NA
asc_01,DS-PR,iccma17,ER_500_10_4.arg2,NA
asc_01,DS-PR,iccma17,ER_500_30_3,NA
asc_01,DS-PR,iccma17,ER_500_30_3.arg2,NA
asc_01,DS-PR,iccma17,ER_500_40_2,NA
asc_01,DS-PR,iccma17,ER_500_40_2.arg2,NA
asc_01,DS-PR,iccma17,ER_500_60_10,NA
asc_01,DS-PR,iccma17,ER_500_60_10.arg2,NA
asc_01,DS-PR,iccma17,ER_500_70_2,NA
asc_01,DS-PR,iccma17,ER_500_80_10,NA
asc_01,DS-PR,iccma17,ER_500_80_2,NA
asc_01,DS-PR,iccma17,ER_500_80_4,NA
asc_01,DS-PR,iccma17,ER_500_80_7,NA
asc_01,DS-PR,iccma17,ferry2.pfile-L2-C1-03.pddl.1.cnf,NA
asc_01,DS-PR,iccma17,ferry2.pfile-L2-C1-04.pddl.4.cnf,NA
asc_01,DS-PR,iccma17,ferry2.pfile-L2-C1-04.pddl.6.cnf,NA
asc_01,DS-PR,iccma17,ferry2.pfile-L2-C1-05.pddl.1.cnf,NA
asc_01,DS-PR,iccma17,ferry2.pfile-L2-C1-09.pddl.6.cnf,NA
asc_01,DS-PR,iccma17,ferry2.pfile-L2-C2-04.pddl.1.cnf,NA
asc_01,DS-PR,iccma17,ferry2.pfile-L2-C2-04.pddl.1.cnf.arg2,NA
asc_01,DS-PR,iccma17,ferry2.pfile-L2-C3-01.pddl.1.cnf,NA
asc_01,DS-PR,iccma17,ferry2.pfile-L2-C3-02.pddl.5.cnf,NA
asc_01,DS-PR,iccma17,ferry2.pfile-L2-C3-02.pddl.5.cnf.arg2,NA
asc_01,DS-PR,iccma17,ferry2.pfile-L2-C4-05.pddl.1.cnf,NA
asc_01,DS-PR,iccma17,ferry2.pfile-L2-C4-07.pddl.1.cnf,NA
asc_01,DS-PR,iccma17,ferry2.pfile-L3-C1-010.pddl.6.cnf,NA
asc_01,DS-PR,iccma17,ferry2.pfile-L3-C1-06.pddl.1.cnf,NA
asc_01,DS-PR,iccma17,ferry2.pfile-L3-C1-07.pddl.1.cnf,NA
asc_01,DS-PR,iccma17,ferry2.pfile-L3-C3-010.pddl.1.cnf,NA
asc_01,DS-PR,iccma17,ferry2.pfile-L3-C3-010.pddl.1.cnf.arg2,NA
asc_01,DS-PR,iccma17,ferry2.pfile-L3-C3-07.pddl.1.cnf,NA
asc_01,DS-PR,iccma17,ferry2.pfile-L3-C3-07.pddl.1.cnf.arg2,NA
asc_01,DS-PR,iccma17,ferry2.pfile-L3-C4-01.pddl.3.cnf,NA
asc_01,DS-PR,iccma17,ferry2.pfile-L3-C4-09.pddl.2.cnf,NA
asc_01,DS-PR,iccma17,fresno-county-rural-transit-agency_20151216_1934.gml.50,NA
asc_01,DS-PR,iccma17,go-taps_20150524_1019.gml.20,NA
asc_01,DS-PR,iccma17,grd_10745_1_4,NA
asc_01,DS-PR,iccma17,grd_11564_1_6,NA
